Temperature,Power (1000m),Power (1100m),Power (1200m),Power (1400m),Power (1600m),Power (1800m),Power (2000m),Power (2200m),Power (2400m),Power (2600m),Power (2800m),Power (30000m),Consumption
-30,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,0
-29,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,0
-28,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,0
-27,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-26,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-25,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-24,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-23,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-22,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-21,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-20,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-19,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-18,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-17,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-16,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-15,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-14,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-13,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-12,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-11,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-10,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-9,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-8,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-7,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-6,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-5,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-4,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-3,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-2,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
-1,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
1,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
2,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
3,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
4,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
5,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
6,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
7,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
8,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
9,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
10,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
11,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
12,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
13,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
14,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
15,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
16,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
17,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
18,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
19,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
20,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
21,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,
22,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2784.210526,
23,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2768.421053,
24,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2752.631579,
25,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2736.842105,
26,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2786.666667,2721.052632,
27,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2773.333333,2705.263158,
28,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2760,2689.473684,
29,2800,2800,2800,2800,2800,2800,2800,2800,2800,2783.333333,2746.666667,2673.684211,
30,2800,2800,2800,2800,2800,2800,2800,2800,2800,2766.666667,2733.333333,2657.894737,
31,2800,2800,2800,2800,2800,2800,2800,2800,2785,2750,2720,2642.105263,
32,2800,2800,2800,2800,2800,2800,2800,2800,2770,2733.333333,2706.666667,2626.315789,
33,2800,2800,2800,2800,2800,2800,2800,2800,2755,2716.666667,2693.333333,2610.526316,
34,2800,2800,2800,2800,2800,2800,2800,2800,2740,2700,2680,2594.736842,
35,2800,2800,2800,2800,2800,2800,2800,2783.333333,2725,2683.333333,2666.666667,2578.947368,
36,2800,2800,2800,2800,2800,2800,2800,2766.666667,2710,2666.666667,2653.333333,2563.157895,
37,2800,2800,2800,2800,2800,2800,2787.5,2750,2695,2650,2640,2547.368421,
38,2800,2800,2800,2800,2800,2800,2775,2733.333333,2680,2633.333333,2626.666667,2531.578947,
39,2800,2800,2800,2800,2800,2800,2762.5,2716.666667,2665,2616.666667,2613.333333,2515.789474,
40,2750,2750,2750,2750,2750,2750,2750,2700,2650,2600,2600,2500,
41,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,
42,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,
43,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,
44,562.5,562.5,562.5,562.5,562.5,562.5,562.5,562.5,562.5,562.5,562.5,562.5,
45,0,0,0,0,0,0,0,0,0,0,0,0,
46,0,0,0,0,0,0,0,0,0,0,0,0,
47,0,0,0,0,0,0,0,0,0,0,0,0,
48,0,0,0,0,0,0,0,0,0,0,0,0,
49,0,0,0,0,0,0,0,0,0,0,0,0,
50,0,0,0,0,0,0,0,0,0,0,0,0,
