Temperature,Power (250m),Power (500m),Power (750m),Power (1000m),Power (1250m),Power (1500m),Power 1750m),Power (2000m)
-30,4500,4500,4500,4500,4500,4500,4500,4500
-29,4500,4500,4500,4500,4500,4500,4500,4500
-28,4500,4500,4500,4500,4500,4500,4500,4500
-27,4500,4500,4500,4500,4500,4500,4500,4500
-26,4500,4500,4500,4500,4500,4500,4500,4500
-25,4500,4500,4500,4500,4500,4500,4500,4500
-24,4500,4500,4500,4500,4500,4500,4500,4500
-23,4500,4500,4500,4500,4500,4500,4500,4500
-22,4500,4500,4500,4500,4500,4500,4500,4500
-21,4500,4500,4500,4500,4500,4500,4500,4500
-20,4500,4500,4500,4500,4500,4500,4500,4500
-19,4500,4500,4500,4500,4500,4500,4500,4500
-18,4500,4500,4500,4500,4500,4500,4500,4500
-17,4500,4500,4500,4500,4500,4500,4500,4500
-16,4500,4500,4500,4500,4500,4500,4500,4500
-15,4500,4500,4500,4500,4500,4500,4500,4500
-14,4500,4500,4500,4500,4500,4500,4500,4500
-13,4500,4500,4500,4500,4500,4500,4500,4500
-12,4500,4500,4500,4500,4500,4500,4500,4500
-11,4500,4500,4500,4500,4500,4500,4500,4500
-10,4500,4500,4500,4500,4500,4500,4500,4500
-9,4500,4500,4500,4500,4500,4500,4500,4500
-8,4500,4500,4500,4500,4500,4500,4500,4500
-7,4500,4500,4500,4500,4500,4500,4500,4500
-6,4500,4500,4500,4500,4500,4500,4500,4500
-5,4500,4500,4500,4500,4500,4500,4500,4500
-4,4500,4500,4500,4500,4500,4500,4500,4500
-3,4500,4500,4500,4500,4500,4500,4500,4500
-2,4500,4500,4500,4500,4500,4500,4500,4500
-1,4500,4500,4500,4500,4500,4500,4500,4500
0,4500,4500,4500,4500,4500,4500,4500,4500
1,4500,4500,4500,4500,4500,4500,4500,4500
2,4500,4500,4500,4500,4500,4500,4500,4500
3,4500,4500,4500,4500,4500,4500,4500,4500
4,4500,4500,4500,4500,4500,4500,4500,4500
5,4500,4500,4500,4500,4500,4500,4500,4500
6,4500,4500,4500,4500,4500,4500,4500,4500
7,4500,4500,4500,4500,4500,4500,4500,4500
8,4500,4500,4500,4500,4500,4500,4500,4500
9,4500,4500,4500,4500,4500,4500,4500,4500
10,4500,4500,4500,4500,4500,4500,4500,4500
11,4500,4500,4500,4500,4500,4500,4500,4500
12,4500,4500,4500,4500,4500,4500,4500,4500
13,4500,4500,4500,4500,4500,4500,4500,4500
14,4500,4500,4500,4500,4500,4500,4500,4500
15,4500,4500,4500,4500,4500,4500,4500,4500
16,4500,4500,4500,4500,4500,4500,4500,4500
17,4500,4500,4500,4500,4500,4500,4500,4500
18,4425,4500,4500,4500,4500,4500,4500,4500
19,4350,4440,4500,4500,4500,4500,4500,4500
20,4275,4380,4440,4500,4500,4500,4500,4500
21,4200,4320,4380,4500,4500,4500,4500,4500
22,4155.555556,4260,4320,4425,4500,4500,4500,4500
23,4111.111111,4200,4260,4350,4500,4500,4500,4500
24,4066.666667,4150,4200,4275,4400,4500,4500,4500
25,4022.222222,4100,4150,4200,4300,4350,4500,4500
26,3977.777778,4050,4100,4150,4200,4200,4200,4200
27,3933.333333,4000,4050,4100,4150,4150,4150,4150
28,3888.888889,3950,4000,4050,4100,4100,4100,4100
29,3844.444444,3900,3950,4000,4050,4050,4050,4050
30,3800,3850,3900,3950,4000,4000,4000,4000
31,3730,3780,3829.8,3876,3921.6,3913.2,3914.8,3920.4
32,3660,3710,3759.6,3802,3843.2,3826.4,3829.6,3840.8
33,3590,3640,3689.4,3728,3764.8,3739.6,3744.4,3761.2
34,3520,3570,3619.2,3654,3686.4,3652.8,3659.2,3681.6
35,3450,3500,3549,3580,3608,3566,3574,3602
36,3261.8,3292.4,3336.4,3367,3391.2,3366,3378.2,3408.6
37,3073.6,3084.8,3123.8,3154,3174.4,3166,3182.4,3215.2
38,2885.4,2877.2,2911.2,2941,2957.6,2966,2986.6,3021.8
39,2697.2,2669.6,2698.6,2728,2740.8,2766,2790.8,2828.4
40,2509,2462,2486,2515,2524,2566,2595,2635
41,2145.2,2107.6,2126.8,2150,2157.2,2190.8,2214,2246
42,1781.4,1753.2,1767.6,1785,1790.4,1815.6,1833,1857
43,1417.6,1398.8,1408.4,1420,1423.6,1440.4,1452,1468
44,1053.8,1044.4,1049.2,1055,1056.8,1065.2,1071,1079
45,690,690,690,690,690,690,690,690
46,690,690,690,690,690,690,690,690
47,690,690,690,690,690,690,690,690
48,690,690,690,690,690,690,690,690
49,690,690,690,690,690,690,690,690
50,690,690,690,690,690,690,690,690
